id,age,salary,score,city,active,join_date
48,35.0,113417.0,0.091,Delhi,False,2010-01-02 23:00:00
49,21.0,26026.0,0.149,Bangalore,False,2010-01-03 00:00:00
50,42.0,63496.0,0.203,Delhi,True,2010-01-03 01:00:00
51,31.0,34073.0,0.531,Kolkata,False,2010-01-03 02:00:00
52,67.0,126041.0,0.156,Bangalore,True,2010-01-03 03:00:00
53,26.0,41836.0,0.605,Mumbai,True,2010-01-03 04:00:00
54,43.0,85186.0,,Kolkata,False,2010-01-03 05:00:00
55,19.0,27184.0,0.311,Mumbai,False,2010-01-03 06:00:00
56,37.0,80829.0,0.967,Hyderabad,False,2010-01-03 07:00:00
57,45.0,21789.0,0.805,Chennai,False,2010-01-03 08:00:00
58,,50353.0,0.424,Mumbai,True,2010-01-03 09:00:00
59,24.0,46340.0,0.447,Mumbai,True,2010-01-03 10:00:00
60,61.0,67343.0,0.115,Mumbai,True,2010-01-03 11:00:00
61,25.0,47933.0,0.845,Mumbai,True,2010-01-03 12:00:00
62,64.0,116601.0,0.004,Kolkata,False,2010-01-03 13:00:00
63,52.0,33686.0,0.144,Bangalore,False,2010-01-03 14:00:00
64,31.0,99887.0,0.534,Kolkata,False,2010-01-03 15:00:00
65,34.0,49258.0,0.188,Hyderabad,True,2010-01-03 16:00:00
66,53.0,145877.0,0.633,Kolkata,False,2010-01-03 17:00:00
67,67.0,53027.0,0.004,Bangalore,False,2010-01-03 18:00:00
68,57.0,38302.0,0.098,Mumbai,True,2010-01-03 19:00:00
69,21.0,141192.0,0.765,Bangalore,True,2010-01-03 20:00:00
70,19.0,107438.0,0.577,Chennai,True,2010-01-03 21:00:00
71,23.0,75755.0,0.019,Chennai,False,2010-01-03 22:00:00
72,59.0,67002.0,0.206,Mumbai,False,2010-01-03 23:00:00
73,21.0,,0.239,Hyderabad,True,2010-01-04 00:00:00
74,46.0,133570.0,0.849,Kolkata,True,2010-01-04 01:00:00
75,35.0,46362.0,0.583,Delhi,True,2010-01-04 02:00:00
76,43.0,,0.541,Hyderabad,False,2010-01-04 03:00:00
77,61.0,141918.0,0.087,Chennai,True,2010-01-04 04:00:00
78,51.0,85635.0,0.657,Chennai,False,2010-01-04 05:00:00
79,27.0,89441.0,0.156,Hyderabad,False,2010-01-04 06:00:00
80,53.0,35090.0,,Mumbai,True,2010-01-04 07:00:00
81,31.0,55110.0,0.593,Bangalore,True,2010-01-04 08:00:00
82,48.0,93627.0,0.842,Chennai,False,2010-01-04 09:00:00
83,65.0,72385.0,0.806,Chennai,True,2010-01-04 10:00:00
84,32.0,25024.0,0.19,Delhi,True,2010-01-04 11:00:00
85,25.0,,0.916,Bangalore,False,2010-01-04 12:00:00
86,31.0,132059.0,0.003,Hyderabad,True,2010-01-04 13:00:00
87,40.0,102247.0,0.33,Chennai,False,2010-01-04 14:00:00
88,57.0,62311.0,0.066,Kolkata,False,2010-01-04 15:00:00
89,38.0,47387.0,0.721,Bangalore,True,2010-01-04 16:00:00
90,33.0,148041.0,0.5,Hyderabad,True,2010-01-04 17:00:00
91,62.0,87825.0,0.175,Bangalore,True,2010-01-04 18:00:00
92,35.0,136053.0,0.085,Delhi,True,2010-01-04 19:00:00
93,64.0,96890.0,0.226,Chennai,True,2010-01-04 20:00:00
94,41.0,31291.0,0.921,Chennai,False,2010-01-04 21:00:00
95,43.0,147434.0,0.678,Delhi,False,2010-01-04 22:00:00
96,42.0,51386.0,0.242,Delhi,True,2010-01-04 23:00:00
97,62.0,113814.0,0.894,Mumbai,True,2010-01-05 00:00:00
98,58.0,136096.0,0.136,Hyderabad,True,2010-01-05 01:00:00
99,46.0,29702.0,0.688,Chennai,True,2010-01-05 02:00:00
100,32.0,118523.0,0.425,Bangalore,True,2010-01-05 03:00:00
101,62.0,115066.0,0.268,Delhi,False,2010-01-05 04:00:00
102,18.0,124711.0,0.262,Mumbai,False,2010-01-05 05:00:00
103,42.0,63128.0,0.501,Delhi,False,2010-01-05 06:00:00
104,24.0,100941.0,0.931,Delhi,False,2010-01-05 07:00:00
105,26.0,131895.0,0.742,Kolkata,False,2010-01-05 08:00:00
106,41.0,47762.0,0.662,Kolkata,True,2010-01-05 09:00:00
107,18.0,23239.0,0.876,Chennai,True,2010-01-05 10:00:00
108,61.0,81874.0,0.57,Hyderabad,False,2010-01-05 11:00:00
109,25.0,135957.0,0.192,Kolkata,True,2010-01-05 12:00:00
110,41.0,83971.0,0.977,Chennai,True,2010-01-05 13:00:00
111,28.0,125846.0,0.535,Bangalore,False,2010-01-05 14:00:00
112,68.0,32567.0,0.315,Delhi,True,2010-01-05 15:00:00
113,,105737.0,0.778,Kolkata,False,2010-01-05 16:00:00
114,25.0,141877.0,,Bangalore,False,2010-01-05 17:00:00
115,52.0,,0.012,Bangalore,False,2010-01-05 18:00:00
116,,85603.0,0.32,Delhi,False,2010-01-05 19:00:00
117,50.0,,,Kolkata,False,2010-01-05 20:00:00
118,22.0,78086.0,0.373,Kolkata,False,2010-01-05 21:00:00
119,,109145.0,0.552,Hyderabad,True,2010-01-05 22:00:00
120,56.0,52270.0,0.183,Bangalore,False,2010-01-05 23:00:00
121,58.0,140071.0,0.572,Bangalore,False,2010-01-06 00:00:00
122,45.0,22012.0,0.987,Bangalore,False,2010-01-06 01:00:00
123,24.0,79049.0,0.754,Kolkata,False,2010-01-06 02:00:00
124,26.0,,,Delhi,True,2010-01-06 03:00:00
125,25.0,104989.0,0.201,Hyderabad,False,2010-01-06 04:00:00
126,29.0,109586.0,0.582,Delhi,False,2010-01-06 05:00:00
127,51.0,85826.0,0.82,Delhi,True,2010-01-06 06:00:00
128,50.0,59080.0,0.241,Hyderabad,True,2010-01-06 07:00:00
129,65.0,76879.0,0.087,Bangalore,True,2010-01-06 08:00:00
130,40.0,148461.0,0.662,Mumbai,False,2010-01-06 09:00:00
131,41.0,89215.0,0.674,Hyderabad,False,2010-01-06 10:00:00
132,54.0,73062.0,0.804,Hyderabad,False,2010-01-06 11:00:00
133,52.0,122955.0,0.63,Chennai,True,2010-01-06 12:00:00
134,61.0,85888.0,0.848,Kolkata,False,2010-01-06 13:00:00
135,57.0,135951.0,0.266,Kolkata,False,2010-01-06 14:00:00
136,39.0,38210.0,0.035,Mumbai,True,2010-01-06 15:00:00
137,44.0,57146.0,0.733,Mumbai,True,2010-01-06 16:00:00
138,52.0,117728.0,0.386,Mumbai,True,2010-01-06 17:00:00
139,18.0,136293.0,0.21,Delhi,False,2010-01-06 18:00:00
140,52.0,113948.0,0.052,Kolkata,True,2010-01-06 19:00:00
141,54.0,56166.0,0.755,Chennai,False,2010-01-06 20:00:00
142,64.0,139239.0,,Bangalore,True,2010-01-06 21:00:00
143,31.0,23006.0,0.389,Kolkata,False,2010-01-06 22:00:00
144,20.0,21004.0,0.885,Mumbai,False,2010-01-06 23:00:00
145,18.0,67580.0,0.416,Bangalore,False,2010-01-07 00:00:00
146,22.0,25967.0,0.952,Mumbai,False,2010-01-07 01:00:00
147,43.0,91964.0,0.983,Bangalore,True,2010-01-07 02:00:00
148,31.0,54846.0,0.818,Delhi,True,2010-01-07 03:00:00
149,56.0,38879.0,0.256,Mumbai,False,2010-01-07 04:00:00
150,44.0,22261.0,0.366,Mumbai,False,2010-01-07 05:00:00
151,26.0,48340.0,0.533,Chennai,True,2010-01-07 06:00:00
152,32.0,87273.0,0.329,Bangalore,False,2010-01-07 07:00:00
153,32.0,52323.0,0.819,Mumbai,False,2010-01-07 08:00:00
154,43.0,55864.0,0.928,Kolkata,False,2010-01-07 09:00:00
155,59.0,,0.986,Mumbai,True,2010-01-07 10:00:00
156,30.0,84884.0,0.336,Delhi,False,2010-01-07 11:00:00
157,68.0,55212.0,0.27,Bangalore,True,2010-01-07 12:00:00
158,49.0,102256.0,0.161,Kolkata,True,2010-01-07 13:00:00
159,56.0,104903.0,0.047,Mumbai,True,2010-01-07 14:00:00
160,66.0,61927.0,0.177,Hyderabad,False,2010-01-07 15:00:00
161,69.0,141686.0,0.285,Delhi,True,2010-01-07 16:00:00
162,49.0,74150.0,0.391,Bangalore,True,2010-01-07 17:00:00
163,21.0,127167.0,0.11,Chennai,False,2010-01-07 18:00:00
164,47.0,78647.0,0.82,Hyderabad,False,2010-01-07 19:00:00
165,54.0,33056.0,0.619,Delhi,True,2010-01-07 20:00:00
166,40.0,30862.0,0.563,Mumbai,True,2010-01-07 21:00:00
167,56.0,30798.0,0.545,Delhi,True,2010-01-07 22:00:00
168,62.0,126491.0,0.29,Kolkata,False,2010-01-07 23:00:00
169,32.0,79058.0,0.938,Hyderabad,True,2010-01-08 00:00:00
170,60.0,71747.0,0.232,Delhi,False,2010-01-08 01:00:00
171,46.0,55738.0,0.669,Hyderabad,False,2010-01-08 02:00:00
172,53.0,121573.0,0.253,Hyderabad,False,2010-01-08 03:00:00
173,30.0,79945.0,0.99,Hyderabad,False,2010-01-08 04:00:00
174,49.0,102398.0,0.912,Bangalore,True,2010-01-08 05:00:00
175,24.0,37227.0,0.265,Delhi,True,2010-01-08 06:00:00
176,68.0,54393.0,0.987,Kolkata,False,2010-01-08 07:00:00
177,39.0,103800.0,0.626,Bangalore,True,2010-01-08 08:00:00
178,45.0,146531.0,0.729,Chennai,False,2010-01-08 09:00:00
179,19.0,79461.0,0.283,Chennai,False,2010-01-08 10:00:00
180,59.0,77848.0,0.216,Delhi,True,2010-01-08 11:00:00
181,62.0,44685.0,0.858,Delhi,True,2010-01-08 12:00:00
182,23.0,111517.0,0.275,Mumbai,True,2010-01-08 13:00:00
183,45.0,139180.0,0.918,Kolkata,False,2010-01-08 14:00:00
184,45.0,23480.0,0.367,Mumbai,False,2010-01-08 15:00:00
185,61.0,126846.0,0.009,Kolkata,False,2010-01-08 16:00:00
186,61.0,144437.0,0.592,Bangalore,False,2010-01-08 17:00:00
187,37.0,35860.0,0.354,Mumbai,True,2010-01-08 18:00:00
188,47.0,88578.0,0.976,Chennai,True,2010-01-08 19:00:00
189,28.0,137524.0,0.387,Kolkata,True,2010-01-08 20:00:00
190,45.0,,0.314,Mumbai,True,2010-01-08 21:00:00
191,42.0,77026.0,0.566,Kolkata,False,2010-01-08 22:00:00
192,56.0,26564.0,0.73,Chennai,True,2010-01-08 23:00:00
193,50.0,40012.0,0.967,Kolkata,False,2010-01-09 00:00:00
194,18.0,74169.0,0.07,Bangalore,False,2010-01-09 01:00:00
195,44.0,128537.0,0.42,Hyderabad,True,2010-01-09 02:00:00
196,69.0,110222.0,0.664,Chennai,True,2010-01-09 03:00:00
197,30.0,114416.0,0.005,Bangalore,False,2010-01-09 04:00:00
198,58.0,46341.0,0.489,Delhi,False,2010-01-09 05:00:00
199,20.0,76758.0,0.807,Chennai,False,2010-01-09 06:00:00
200,56.0,103121.0,0.051,Chennai,False,2010-01-09 07:00:00
201,23.0,129474.0,0.341,Delhi,False,2010-01-09 08:00:00
202,25.0,66841.0,0.401,Kolkata,False,2010-01-09 09:00:00
203,44.0,112584.0,0.716,Hyderabad,True,2010-01-09 10:00:00
204,26.0,63335.0,0.296,Mumbai,True,2010-01-09 11:00:00
205,54.0,75155.0,0.246,Chennai,True,2010-01-09 12:00:00
206,50.0,118314.0,0.116,Mumbai,True,2010-01-09 13:00:00
207,68.0,101147.0,0.996,Kolkata,True,2010-01-09 14:00:00
208,59.0,49527.0,0.472,Mumbai,True,2010-01-09 15:00:00
209,61.0,115466.0,0.048,Chennai,False,2010-01-09 16:00:00
210,41.0,68775.0,0.077,Chennai,True,2010-01-09 17:00:00
211,32.0,145181.0,0.128,Chennai,False,2010-01-09 18:00:00
212,49.0,128085.0,0.212,Kolkata,True,2010-01-09 19:00:00
213,49.0,70653.0,0.74,Bangalore,False,2010-01-09 20:00:00
214,41.0,44704.0,0.559,Delhi,True,2010-01-09 21:00:00
215,58.0,126209.0,0.777,Mumbai,False,2010-01-09 22:00:00
216,69.0,121907.0,0.02,Chennai,True,2010-01-09 23:00:00
217,66.0,138883.0,0.265,Kolkata,False,2010-01-10 00:00:00
218,66.0,53057.0,0.406,Hyderabad,False,2010-01-10 01:00:00
219,69.0,123992.0,0.429,Bangalore,False,2010-01-10 02:00:00
220,29.0,27393.0,0.054,Chennai,False,2010-01-10 03:00:00
221,,95404.0,,Delhi,True,2010-01-10 04:00:00
222,19.0,131740.0,0.287,Bangalore,True,2010-01-10 05:00:00
223,20.0,60373.0,0.191,Mumbai,False,2010-01-10 06:00:00
224,66.0,111956.0,0.671,Mumbai,True,2010-01-10 07:00:00
225,54.0,130131.0,,Mumbai,True,2010-01-10 08:00:00
226,66.0,104613.0,0.867,Chennai,False,2010-01-10 09:00:00
227,,79171.0,0.9,Bangalore,False,2010-01-10 10:00:00
228,66.0,49336.0,0.326,Delhi,True,2010-01-10 11:00:00
229,19.0,78714.0,0.987,Delhi,True,2010-01-10 12:00:00
230,19.0,32985.0,0.401,Delhi,False,2010-01-10 13:00:00
231,45.0,32014.0,0.962,Bangalore,False,2010-01-10 14:00:00
232,40.0,28374.0,0.987,Kolkata,False,2010-01-10 15:00:00
233,54.0,135038.0,0.827,Bangalore,False,2010-01-10 16:00:00
234,49.0,105506.0,0.125,Kolkata,False,2010-01-10 17:00:00
235,50.0,42299.0,,Hyderabad,True,2010-01-10 18:00:00
236,18.0,111513.0,0.732,Mumbai,True,2010-01-10 19:00:00
237,36.0,47331.0,0.077,Kolkata,False,2010-01-10 20:00:00
238,19.0,25584.0,0.894,Kolkata,False,2010-01-10 21:00:00
239,,32965.0,0.852,Delhi,False,2010-01-10 22:00:00
240,43.0,104769.0,0.934,Delhi,False,2010-01-10 23:00:00
241,49.0,40819.0,0.514,Kolkata,False,2010-01-11 00:00:00
242,23.0,146092.0,0.324,Bangalore,False,2010-01-11 01:00:00
243,49.0,48782.0,0.506,Delhi,True,2010-01-11 02:00:00
244,21.0,124708.0,0.729,Hyderabad,True,2010-01-11 03:00:00
245,28.0,130463.0,0.416,Delhi,True,2010-01-11 04:00:00
246,34.0,99035.0,0.352,Bangalore,False,2010-01-11 05:00:00
247,,105847.0,0.077,Delhi,False,2010-01-11 06:00:00
248,41.0,108434.0,0.447,Delhi,True,2010-01-11 07:00:00
249,22.0,,0.393,Mumbai,True,2010-01-11 08:00:00
250,69.0,43824.0,0.663,Hyderabad,False,2010-01-11 09:00:00
251,51.0,140504.0,0.439,Chennai,False,2010-01-11 10:00:00
252,23.0,34110.0,0.004,Kolkata,True,2010-01-11 11:00:00
253,39.0,67707.0,0.484,Delhi,False,2010-01-11 12:00:00
254,28.0,108512.0,0.774,Kolkata,True,2010-01-11 13:00:00
255,65.0,25825.0,0.945,Chennai,False,2010-01-11 14:00:00
256,33.0,23488.0,0.193,Kolkata,True,2010-01-11 15:00:00
257,50.0,87431.0,0.423,Hyderabad,True,2010-01-11 16:00:00
258,26.0,,0.847,Chennai,True,2010-01-11 17:00:00
259,23.0,86947.0,0.043,Mumbai,False,2010-01-11 18:00:00
260,33.0,25457.0,0.35,Hyderabad,False,2010-01-11 19:00:00
261,46.0,97110.0,0.591,Delhi,True,2010-01-11 20:00:00
262,20.0,128439.0,0.343,Bangalore,True,2010-01-11 21:00:00
263,37.0,138687.0,0.489,Kolkata,True,2010-01-11 22:00:00
264,53.0,58216.0,0.939,Bangalore,True,2010-01-11 23:00:00
265,,113230.0,,Chennai,True,2010-01-12 00:00:00
266,43.0,28847.0,0.078,Chennai,True,2010-01-12 01:00:00
267,20.0,108212.0,0.197,Hyderabad,False,2010-01-12 02:00:00
268,36.0,61309.0,0.385,Kolkata,False,2010-01-12 03:00:00
269,37.0,34658.0,0.471,Mumbai,True,2010-01-12 04:00:00
270,49.0,108928.0,0.037,Chennai,True,2010-01-12 05:00:00
271,24.0,146878.0,0.883,Delhi,False,2010-01-12 06:00:00
272,69.0,37527.0,0.759,Bangalore,True,2010-01-12 07:00:00
273,58.0,49676.0,0.268,Delhi,False,2010-01-12 08:00:00
274,50.0,36781.0,0.257,Delhi,True,2010-01-12 09:00:00
275,57.0,20645.0,0.026,Delhi,True,2010-01-12 10:00:00
276,56.0,117476.0,0.399,Kolkata,False,2010-01-12 11:00:00
277,35.0,98236.0,0.254,Bangalore,False,2010-01-12 12:00:00
278,57.0,43990.0,0.618,Delhi,False,2010-01-12 13:00:00
279,18.0,106052.0,0.548,Hyderabad,False,2010-01-12 14:00:00
280,28.0,38618.0,0.957,Delhi,True,2010-01-12 15:00:00
281,45.0,81859.0,,Hyderabad,False,2010-01-12 16:00:00
282,42.0,96500.0,0.081,Hyderabad,True,2010-01-12 17:00:00
283,67.0,78827.0,0.704,Chennai,False,2010-01-12 18:00:00
284,40.0,117389.0,0.107,Kolkata,False,2010-01-12 19:00:00
285,48.0,145114.0,0.323,Chennai,True,2010-01-12 20:00:00
286,47.0,116726.0,0.555,Delhi,True,2010-01-12 21:00:00
287,,148077.0,0.496,Chennai,True,2010-01-12 22:00:00
288,52.0,144863.0,0.693,Chennai,False,2010-01-12 23:00:00
289,24.0,21962.0,,Chennai,True,2010-01-13 00:00:00
290,33.0,148373.0,0.829,Hyderabad,False,2010-01-13 01:00:00
291,43.0,135497.0,0.058,Kolkata,True,2010-01-13 02:00:00
292,65.0,59241.0,0.642,Hyderabad,False,2010-01-13 03:00:00
293,69.0,146076.0,0.961,Kolkata,False,2010-01-13 04:00:00
294,,60251.0,0.755,Chennai,False,2010-01-13 05:00:00
295,19.0,82397.0,0.52,Kolkata,False,2010-01-13 06:00:00
296,18.0,89951.0,0.999,Mumbai,True,2010-01-13 07:00:00
297,65.0,75770.0,0.044,Chennai,True,2010-01-13 08:00:00
298,29.0,134152.0,0.088,Hyderabad,False,2010-01-13 09:00:00
299,22.0,51545.0,0.768,Mumbai,False,2010-01-13 10:00:00
300,54.0,28705.0,0.55,Delhi,False,2010-01-13 11:00:00
301,49.0,143213.0,0.124,Mumbai,True,2010-01-13 12:00:00
302,26.0,115302.0,0.375,Mumbai,False,2010-01-13 13:00:00
303,58.0,30704.0,0.064,Delhi,False,2010-01-13 14:00:00
304,52.0,52119.0,0.526,Mumbai,True,2010-01-13 15:00:00
305,36.0,48671.0,0.104,Hyderabad,True,2010-01-13 16:00:00
306,65.0,41203.0,0.007,Hyderabad,True,2010-01-13 17:00:00
307,33.0,101927.0,0.322,Delhi,True,2010-01-13 18:00:00
308,20.0,140503.0,0.234,Kolkata,False,2010-01-13 19:00:00
309,37.0,112115.0,0.362,Delhi,False,2010-01-13 20:00:00
310,41.0,32451.0,0.35,Bangalore,False,2010-01-13 21:00:00
311,50.0,44516.0,0.63,Mumbai,False,2010-01-13 22:00:00
312,41.0,131372.0,0.68,Kolkata,False,2010-01-13 23:00:00
313,69.0,140102.0,0.127,Delhi,False,2010-01-14 00:00:00
314,28.0,116613.0,0.489,Chennai,True,2010-01-14 01:00:00
315,66.0,95856.0,0.889,Bangalore,True,2010-01-14 02:00:00
316,25.0,149797.0,0.148,Kolkata,False,2010-01-14 03:00:00
317,53.0,78642.0,0.967,Mumbai,True,2010-01-14 04:00:00
318,55.0,65976.0,0.019,Hyderabad,False,2010-01-14 05:00:00
319,57.0,39330.0,0.1,Bangalore,True,2010-01-14 06:00:00
320,37.0,107656.0,0.178,Chennai,True,2010-01-14 07:00:00
321,52.0,54612.0,0.47,Hyderabad,False,2010-01-14 08:00:00
322,,138299.0,0.299,Hyderabad,True,2010-01-14 09:00:00
323,42.0,133561.0,0.418,Bangalore,True,2010-01-14 10:00:00
324,52.0,51790.0,0.941,Bangalore,False,2010-01-14 11:00:00
325,42.0,125863.0,0.341,Mumbai,True,2010-01-14 12:00:00
326,46.0,149848.0,0.848,Hyderabad,True,2010-01-14 13:00:00
327,35.0,142872.0,0.073,Bangalore,False,2010-01-14 14:00:00
328,63.0,107606.0,0.812,Delhi,True,2010-01-14 15:00:00
329,35.0,39449.0,0.902,Delhi,True,2010-01-14 16:00:00
330,19.0,94830.0,0.285,Bangalore,True,2010-01-14 17:00:00
331,52.0,,0.547,Bangalore,False,2010-01-14 18:00:00
332,33.0,118983.0,0.187,Mumbai,True,2010-01-14 19:00:00
333,58.0,27190.0,0.091,Kolkata,True,2010-01-14 20:00:00
334,53.0,123651.0,0.77,Bangalore,True,2010-01-14 21:00:00
335,50.0,65493.0,0.63,Delhi,True,2010-01-14 22:00:00
336,21.0,31561.0,,Bangalore,False,2010-01-14 23:00:00
337,50.0,40431.0,0.44,Bangalore,True,2010-01-15 00:00:00
338,31.0,49617.0,0.25,Hyderabad,True,2010-01-15 01:00:00
339,38.0,33571.0,0.427,Hyderabad,True,2010-01-15 02:00:00
340,65.0,129319.0,0.065,Bangalore,True,2010-01-15 03:00:00
341,,116931.0,0.284,Kolkata,False,2010-01-15 04:00:00
342,25.0,20009.0,0.298,Delhi,False,2010-01-15 05:00:00
343,24.0,134291.0,0.715,Chennai,True,2010-01-15 06:00:00
344,20.0,130749.0,,Chennai,True,2010-01-15 07:00:00
345,34.0,100739.0,0.245,Bangalore,True,2010-01-15 08:00:00
346,50.0,63791.0,0.277,Bangalore,False,2010-01-15 09:00:00
347,65.0,148157.0,0.551,Hyderabad,False,2010-01-15 10:00:00
348,29.0,141151.0,0.245,Hyderabad,False,2010-01-15 11:00:00
349,68.0,146827.0,0.132,Chennai,True,2010-01-15 12:00:00
350,39.0,90857.0,0.258,Hyderabad,True,2010-01-15 13:00:00
351,39.0,73368.0,0.422,Kolkata,False,2010-01-15 14:00:00
352,63.0,95914.0,0.525,Kolkata,True,2010-01-15 15:00:00
353,47.0,143553.0,0.037,Mumbai,True,2010-01-15 16:00:00
354,55.0,68847.0,0.31,Bangalore,True,2010-01-15 17:00:00
355,55.0,142422.0,0.764,Hyderabad,False,2010-01-15 18:00:00
356,62.0,93042.0,0.598,Delhi,False,2010-01-15 19:00:00
357,68.0,95755.0,,Kolkata,True,2010-01-15 20:00:00
358,25.0,115491.0,0.453,Chennai,False,2010-01-15 21:00:00
359,44.0,54224.0,0.369,Kolkata,True,2010-01-15 22:00:00
360,44.0,118347.0,0.342,Kolkata,True,2010-01-15 23:00:00
361,51.0,60094.0,0.401,Hyderabad,True,2010-01-16 00:00:00
362,38.0,147791.0,0.869,Hyderabad,False,2010-01-16 01:00:00
363,47.0,82818.0,0.469,Delhi,False,2010-01-16 02:00:00
364,50.0,114305.0,0.669,Hyderabad,False,2010-01-16 03:00:00
365,45.0,146489.0,0.808,Delhi,False,2010-01-16 04:00:00
366,,30086.0,0.432,Mumbai,True,2010-01-16 05:00:00
367,50.0,113893.0,0.839,Mumbai,False,2010-01-16 06:00:00
368,22.0,60544.0,,Mumbai,False,2010-01-16 07:00:00
369,65.0,112398.0,0.504,Hyderabad,True,2010-01-16 08:00:00
370,36.0,139258.0,0.403,Mumbai,True,2010-01-16 09:00:00
371,21.0,38955.0,0.806,Chennai,True,2010-01-16 10:00:00
372,,,0.649,Hyderabad,True,2010-01-16 11:00:00
373,66.0,144295.0,0.613,Bangalore,False,2010-01-16 12:00:00
374,34.0,93736.0,0.886,Bangalore,True,2010-01-16 13:00:00
375,61.0,,0.649,Mumbai,True,2010-01-16 14:00:00
376,45.0,99236.0,0.642,Chennai,False,2010-01-16 15:00:00
377,47.0,54630.0,0.207,Mumbai,True,2010-01-16 16:00:00
378,46.0,70385.0,0.688,Delhi,True,2010-01-16 17:00:00
379,63.0,105045.0,0.913,Hyderabad,False,2010-01-16 18:00:00
380,23.0,24711.0,0.576,Kolkata,False,2010-01-16 19:00:00
381,52.0,50871.0,0.903,Bangalore,False,2010-01-16 20:00:00
382,58.0,22457.0,0.34,Chennai,True,2010-01-16 21:00:00
383,54.0,142889.0,0.043,Kolkata,True,2010-01-16 22:00:00
384,41.0,96732.0,0.445,Chennai,False,2010-01-16 23:00:00
385,46.0,98375.0,0.004,Hyderabad,True,2010-01-17 00:00:00
386,66.0,59467.0,0.155,Mumbai,False,2010-01-17 01:00:00
387,63.0,33167.0,0.191,Mumbai,True,2010-01-17 02:00:00
388,48.0,93995.0,0.534,Mumbai,False,2010-01-17 03:00:00
389,52.0,,0.95,Bangalore,False,2010-01-17 04:00:00
390,50.0,130357.0,0.02,Delhi,True,2010-01-17 05:00:00
391,69.0,22714.0,0.237,Chennai,True,2010-01-17 06:00:00
392,38.0,,0.969,Delhi,False,2010-01-17 07:00:00
393,49.0,47217.0,0.882,Hyderabad,True,2010-01-17 08:00:00
394,40.0,60132.0,0.835,Delhi,True,2010-01-17 09:00:00
395,50.0,116653.0,0.092,Chennai,False,2010-01-17 10:00:00
